2021-05-07 16:40:02,423 stock_history INFO     HTMLSession created.
2021-05-07 16:40:02,430 options INFO     Options data loaded from local data directory.
2021-05-07 16:40:41,975 stock_history INFO     HTMLSession created.
2021-05-07 16:40:41,982 options INFO     Options data loaded from local data directory.
2021-05-07 16:41:20,141 stock_history INFO     HTMLSession created.
2021-05-07 16:41:20,150 options INFO     Options data loaded from local data directory.
2021-05-07 16:41:33,999 root WARNING  VIVO exists, {'Company': 'Meridian Bioscience Inc', 'Earnings Call Time': 'TAS', 'EPS Estimate': 0.48, 'Reported EPS': '-', 'Surprise(%)': '-'} data overwritten Meridian Bioscience Inc Before Market Open 0.48 - -
2021-05-07 16:41:36,844 root WARNING  AZUL exists, {'Company': 'Azul SA', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': -1.22, 'Reported EPS': '-', 'Surprise(%)': '-'} data overwritten Azul SA TAS -1.22 - -
2021-05-07 16:41:36,846 root WARNING  BDRBF exists, {'Company': 'Bombardier Inc', 'Earnings Call Time': 'TAS', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-'} data overwritten Bombardier Inc TAS - - -
2021-05-07 16:41:36,847 root WARNING  BTN exists, {'Company': 'Ballantyne Strong Inc', 'Earnings Call Time': 'After Market Close', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-'} data overwritten Ballantyne Strong Inc TAS - - -
2021-05-07 16:41:36,851 root WARNING  WFCF exists, {'Company': 'Where Food Comes From Inc', 'Earnings Call Time': 'Before Market Open', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-'} data overwritten Where Food Comes From Inc TAS - - -
2021-05-07 16:41:36,853 root WARNING  SWSSF exists, {'Company': 'Swiss Water Decaffeinated Coffee Inc', 'Earnings Call Time': 'TAS', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-'} data overwritten Swiss Water Decaffeinated Coffee Inc After Market Close - - -
2021-05-07 16:41:37,878 root WARNING  WFTLF exists, {'Company': 'Weatherford International PLC', 'Earnings Call Time': 'TAS', 'EPS Estimate': -1.2, 'Reported EPS': '-', 'Surprise(%)': '-'} data overwritten Weatherford International PLC Before Market Open -1.2 - -
2021-05-07 16:41:37,878 root WARNING  TCX exists, {'Company': 'Tucows Inc', 'Earnings Call Time': 'TAS', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-'} data overwritten Tucows Inc Time Not Supplied - - -
2021-05-07 16:46:03,964 root WARNING  VIVO exists, {'Company': 'Meridian Bioscience Inc', 'Earnings Call Time': 'TAS', 'EPS Estimate': 0.48, 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-07'} data overwritten Meridian Bioscience Inc Before Market Open 0.48 - -
2021-05-07 16:46:06,232 root WARNING  AZUL exists, {'Company': 'Azul SA', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': -1.22, 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-06'} data overwritten Azul SA TAS -1.22 - -
2021-05-07 16:46:06,233 root WARNING  BDRBF exists, {'Company': 'Bombardier Inc', 'Earnings Call Time': 'TAS', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-06'} data overwritten Bombardier Inc TAS - - -
2021-05-07 16:46:06,233 root WARNING  BTN exists, {'Company': 'Ballantyne Strong Inc', 'Earnings Call Time': 'After Market Close', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-06'} data overwritten Ballantyne Strong Inc TAS - - -
2021-05-07 16:46:06,235 root WARNING  WFCF exists, {'Company': 'Where Food Comes From Inc', 'Earnings Call Time': 'Before Market Open', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-06'} data overwritten Where Food Comes From Inc TAS - - -
2021-05-07 16:46:06,236 root WARNING  SWSSF exists, {'Company': 'Swiss Water Decaffeinated Coffee Inc', 'Earnings Call Time': 'TAS', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-07'} data overwritten Swiss Water Decaffeinated Coffee Inc After Market Close - - -
2021-05-07 16:46:07,091 root WARNING  WFTLF exists, {'Company': 'Weatherford International PLC', 'Earnings Call Time': 'TAS', 'EPS Estimate': -1.2, 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-06'} data overwritten Weatherford International PLC Before Market Open -1.2 - -
2021-05-07 16:46:07,092 root WARNING  TCX exists, {'Company': 'Tucows Inc', 'Earnings Call Time': 'TAS', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-06'} data overwritten Tucows Inc Time Not Supplied - - -
2021-05-07 16:46:21,475 stock_history INFO     HTMLSession created.
2021-05-07 16:46:22,883 root WARNING  VIVO exists, {'Company': 'Meridian Bioscience Inc', 'Earnings Call Time': 'TAS', 'EPS Estimate': 0.48, 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-07'} data overwritten Meridian Bioscience Inc Before Market Open 0.48 - -
2021-05-07 16:46:24,743 root WARNING  AZUL exists, {'Company': 'Azul SA', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': -1.22, 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-06'} data overwritten Azul SA TAS -1.22 - -
2021-05-07 16:46:24,744 root WARNING  BDRBF exists, {'Company': 'Bombardier Inc', 'Earnings Call Time': 'TAS', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-06'} data overwritten Bombardier Inc TAS - - -
2021-05-07 16:46:24,744 root WARNING  BTN exists, {'Company': 'Ballantyne Strong Inc', 'Earnings Call Time': 'After Market Close', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-06'} data overwritten Ballantyne Strong Inc TAS - - -
2021-05-07 16:46:24,746 root WARNING  WFCF exists, {'Company': 'Where Food Comes From Inc', 'Earnings Call Time': 'Before Market Open', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-06'} data overwritten Where Food Comes From Inc TAS - - -
2021-05-07 16:46:24,747 root WARNING  SWSSF exists, {'Company': 'Swiss Water Decaffeinated Coffee Inc', 'Earnings Call Time': 'TAS', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-07'} data overwritten Swiss Water Decaffeinated Coffee Inc After Market Close - - -
2021-05-07 16:46:25,627 root WARNING  WFTLF exists, {'Company': 'Weatherford International PLC', 'Earnings Call Time': 'TAS', 'EPS Estimate': -1.2, 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-06'} data overwritten Weatherford International PLC Before Market Open -1.2 - -
2021-05-07 16:46:25,628 root WARNING  TCX exists, {'Company': 'Tucows Inc', 'Earnings Call Time': 'TAS', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-06'} data overwritten Tucows Inc Time Not Supplied - - -
2021-05-07 16:46:26,701 root WARNING  ADAP exists, {'Company': 'Adaptimmune Therapeutics plc', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': -0.25, 'Reported EPS': -0.24, 'Surprise(%)': 4.0, 'Earnings Date': '2021-05-05'} data overwritten Adaptimmune Therapeutics PLC TAS -0.25 -0.24 +4
2021-05-07 16:46:27,792 root WARNING  SCU exists, {'Company': 'Sculptor Capital Management Inc', 'Earnings Call Time': 'After Market Close', 'EPS Estimate': 0.38, 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-05'} data overwritten Sculptor Capital Management, Inc. Time Not Supplied 0.38 - -
2021-05-07 16:46:27,793 root WARNING  GKOS exists, {'Company': 'Glaukos Corporation', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': -0.24, 'Reported EPS': -0.36, 'Surprise(%)': -50.0, 'Earnings Date': '2021-05-05'} data overwritten Glaukos Corp TAS -0.24 -0.36 -50
2021-05-07 16:46:27,794 root WARNING  CLSK exists, {'Company': 'CleanSpark Inc', 'Earnings Call Time': 'Before Market Open', 'EPS Estimate': -0.02, 'Reported EPS': 0.22, 'Surprise(%)': 1200.0, 'Earnings Date': '2021-05-07'} data overwritten CleanSpark, Inc. Time Not Supplied -0.02 0.22 +1200
2021-05-07 16:46:27,796 root WARNING  CRDF exists, {'Company': 'Cardiff Oncology Inc', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': -0.15, 'Reported EPS': -0.14, 'Surprise(%)': 6.67, 'Earnings Date': '2021-05-07'} data overwritten Cardiff Oncology, Inc. Time Not Supplied -0.15 -0.14 +5.41
2021-05-07 16:46:28,740 root WARNING  CMBM exists, {'Company': 'Cambium Networks Corporation', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 0.33, 'Reported EPS': 0.41, 'Surprise(%)': 25.0, 'Earnings Date': '2021-05-05'} data overwritten Cambium Networks Corporation Time Not Supplied 0.33 0.41 +25
2021-05-07 16:46:28,741 root WARNING  CRDF exists, {'Company': 'Cardiff Oncology, Inc.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': -0.15, 'Reported EPS': -0.14, 'Surprise(%)': 5.41, 'Earnings Date': '2021-05-05'} data overwritten Cardiff Oncology, Inc. Time Not Supplied -0.15 -0.14 +5.41
2021-05-07 16:46:28,741 root WARNING  AUMN exists, {'Company': 'Golden Minerals Company', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': -0.02, 'Reported EPS': -0.02, 'Surprise(%)': '-', 'Earnings Date': '2021-05-05'} data overwritten Golden Minerals Company Time Not Supplied -0.02 -0.02 -
2021-05-07 16:46:28,742 root WARNING  CAH exists, {'Company': 'Cardinal Health, Inc.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 1.55, 'Reported EPS': 1.53, 'Surprise(%)': -1.42, 'Earnings Date': '2021-05-05'} data overwritten Cardinal Health, Inc. Time Not Supplied 1.55 1.53 -1.42
2021-05-07 16:46:28,742 root WARNING  MCK exists, {'Company': 'McKesson Corporation', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 5.04, 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-05'} data overwritten McKesson Corporation Time Not Supplied 5.04 - -
2021-05-07 16:46:28,744 root WARNING  PDEX exists, {'Company': 'Pro-Dex Inc', 'Earnings Call Time': 'After Market Close', 'EPS Estimate': 0.22, 'Reported EPS': 0.5, 'Surprise(%)': 127.27, 'Earnings Date': '2021-05-07'} data overwritten Pro-Dex, Inc. Time Not Supplied 0.22 0.5 +127.27
2021-05-07 16:46:30,087 root WARNING  EQH exists, {'Company': 'Equitable Holdings, Inc.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 1.29, 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-05'} data overwritten Equitable Holdings Inc TAS 1.27 - -
2021-05-07 16:46:30,089 root WARNING  FALC exists, {'Company': 'FalconStor Software Inc', 'Earnings Call Time': 'TAS', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-05'} data overwritten FalconStor Software Inc After Market Close - - -
2021-05-07 16:46:32,043 root WARNING  PZZA exists, {'Company': "Papa John's International, Inc.", 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 0.56, 'Reported EPS': 0.9, 'Surprise(%)': 61.87, 'Earnings Date': '2021-05-05'} data overwritten Papa John's International, Inc. Time Not Supplied 0.56 0.9 +61.87
2021-05-07 16:46:32,044 root WARNING  MEIP exists, {'Company': 'MEI Pharma, Inc.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': -0.16, 'Reported EPS': -0.28, 'Surprise(%)': -71.78, 'Earnings Date': '2021-05-05'} data overwritten MEI Pharma, Inc. Time Not Supplied -0.16 -0.28 -71.78
2021-05-07 16:46:32,044 root WARNING  NTUS exists, {'Company': 'Natus Medical Incorporated', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 0.16, 'Reported EPS': 0.16, 'Surprise(%)': '-', 'Earnings Date': '2021-05-05'} data overwritten Natus Medical Incorporated Time Not Supplied 0.16 0.16 -
2021-05-07 16:46:32,047 root WARNING  ORGS exists, {'Company': 'Orgenesis Inc', 'Earnings Call Time': 'Before Market Open', 'EPS Estimate': -0.26, 'Reported EPS': 0.01, 'Surprise(%)': 103.85, 'Earnings Date': '2021-05-07'} data overwritten Orgenesis Inc. Time Not Supplied -0.26 0.01 +103.85
2021-05-07 16:46:32,047 root WARNING  RYN exists, {'Company': 'Rayonier Inc.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 0.09, 'Reported EPS': 0.08, 'Surprise(%)': -9.09, 'Earnings Date': '2021-05-05'} data overwritten Rayonier Inc TAS 0.09 0.08 -11.11
2021-05-07 16:46:32,047 root WARNING  SJI exists, {'Company': 'South Jersey Industries, Inc.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 1.2, 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-05'} data overwritten South Jersey Industries Inc TAS 1.2 - -
2021-05-07 16:46:32,048 root WARNING  IAC exists, {'Company': 'IAC/Interactivecorp', 'Earnings Call Time': 'After Market Close', 'EPS Estimate': -0.64, 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-06'} data overwritten IAC/Interactivecorp After Market Close - - -
2021-05-07 16:46:34,216 root WARNING  ATSG exists, {'Company': 'Air Transport Services Group Inc', 'Earnings Call Time': 'TAS', 'EPS Estimate': 0.26, 'Reported EPS': 0.19, 'Surprise(%)': -26.92, 'Earnings Date': '2021-05-06'} data overwritten Air Transport Services Group, Inc. Time Not Supplied 0.27 0.19 -28.3
2021-05-07 16:46:34,217 root WARNING  BDRBF exists, {'Company': 'Bombardier Inc', 'Earnings Call Time': 'TAS', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-06'} data overwritten Bombardier Inc. Time Not Supplied -0.07 -0.07 +5.41
2021-05-07 16:46:35,967 root WARNING  VAC exists, {'Company': 'Marriott Vacations Worldwide Corporation', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': -0.27, 'Reported EPS': -0.49, 'Surprise(%)': -80.15, 'Earnings Date': '2021-05-04'} data overwritten Marriott Vacations Worldwide Corporation Time Not Supplied -0.27 -0.49 -80.15
2021-05-07 16:46:35,967 root WARNING  LMNX exists, {'Company': 'Luminex Corporation', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 0.14, 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-04'} data overwritten Luminex Corporation Time Not Supplied 0.14 - -
2021-05-07 16:46:35,968 root WARNING  GHC exists, {'Company': 'Graham Holdings Co', 'Earnings Call Time': 'Before Market Open', 'EPS Estimate': 3.95, 'Reported EPS': 9.1, 'Surprise(%)': 130.38, 'Earnings Date': '2021-05-06'} data overwritten Graham Holdings Company Time Not Supplied 3.95 9.1 +130.38
2021-05-07 16:46:36,912 root WARNING  UIHC exists, {'Company': 'United Insurance Holdings Corp.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': -0.57, 'Reported EPS': -0.45, 'Surprise(%)': 20.77, 'Earnings Date': '2021-05-04'} data overwritten United Insurance Holdings Corp. Time Not Supplied -0.57 -0.45 +20.77
2021-05-07 16:46:36,912 root WARNING  UTHR exists, {'Company': 'United Therapeutics Corporation', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 2.94, 'Reported EPS': 0.61, 'Surprise(%)': -79.26, 'Earnings Date': '2021-05-04'} data overwritten United Therapeutics Corporation Time Not Supplied 2.94 0.61 -79.26
2021-05-07 16:46:36,914 root WARNING  DLHC exists, {'Company': 'DLH Holdings Corp', 'Earnings Call Time': 'TAS', 'EPS Estimate': 0.14, 'Reported EPS': 0.19, 'Surprise(%)': 35.71, 'Earnings Date': '2021-05-06'} data overwritten DLH Holdings Corp. Time Not Supplied 0.14 0.19 +35.71
2021-05-07 16:46:36,915 root WARNING  ECSNF exists, {'Company': 'EcoSynthetix Inc', 'Earnings Call Time': 'TAS', 'EPS Estimate': '-', 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-05'} data overwritten EcoSynthetix Inc After Market Close - - -
2021-05-07 16:46:36,916 root WARNING  ESTE exists, {'Company': 'Earthstone Energy Inc', 'Earnings Call Time': 'Before Market Open', 'EPS Estimate': 0.05, 'Reported EPS': '-', 'Surprise(%)': '-', 'Earnings Date': '2021-05-06'} data overwritten Earthstone Energy, Inc. Time Not Supplied 0.05 - -
2021-05-07 16:46:36,916 root WARNING  PTVE exists, {'Company': 'Pactiv Evergreen Inc.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 0.07, 'Reported EPS': 0.14, 'Surprise(%)': 105.88, 'Earnings Date': '2021-05-04'} data overwritten Pactiv Evergreen Inc TAS 0.07 0.14 +100
2021-05-07 16:46:37,942 root WARNING  FLT exists, {'Company': 'FLEETCOR Technologies, Inc.', 'Earnings Call Time': 'Time Not Supplied', 'EPS Estimate': 2.73, 'Reported EPS': 2.82, 'Surprise(%)': 3.45, 'Earnings Date': '2021-05-04'} data overwritten FLEETCOR Technologies, Inc. Time Not Supplied 2.73 2.82 +3.45
2021-05-07 16:46:37,942 root WARNING  GWRS exists, {'Company': 'Global Water Resources Inc', 'Earnings Call Time': 'Before Market Open', 'EPS Estimate': -0.01, 'Reported EPS': -0.01, 'Surprise(%)': '-', 'Earnings Date': '2021-05-06'} data overwritten Global Water Resources, Inc. Time Not Supplied -0.01 -0.01 -
2021-05-07 16:46:37,943 root WARNING  GPRK exists, {'Company': 'GeoPark Ltd', 'Earnings Call Time': 'Before Market Open', 'EPS Estimate': 0.29, 'Reported EPS': -0.17, 'Surprise(%)': -158.62, 'Earnings Date': '2021-05-06'} data overwritten GeoPark Limited Time Not Supplied 0.29 -0.17 -158.62
